GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mts,com.company.mts,Main,6,77,1,1,0,20,1,3,0,3
mts,com.company.mts.exception,DuplicateTransactionException,0,16,0,0,0,6,0,3,0,3
mts,com.company.mts.exception,GlobalExceptionHandler,0,212,0,0,0,64,0,13,0,13
mts,com.company.mts.exception,DuplicateAccountException,0,4,0,0,0,2,0,1,0,1
mts,com.company.mts.exception,InsufficientBalanceException,0,4,0,0,0,2,0,1,0,1
mts,com.company.mts.exception,DuplicateUserException,0,4,0,0,0,2,0,1,0,1
mts,com.company.mts.exception,InactiveAccountException,0,4,0,0,0,2,0,1,0,1
mts,com.company.mts.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
mts,com.company.mts.exception,GlobalExceptionHandler.ErrorResponse,0,74,0,0,0,28,0,14,0,14
mts,com.company.mts.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
mts,com.company.mts.utils,AccountNumberGenerator,0,98,0,16,0,22,0,13,0,5
mts,com.company.mts.service,TransactionService,10,698,6,32,4,180,6,34,0,21
mts,com.company.mts.service,AnalyticsService,5,667,1,31,1,143,1,28,0,13
mts,com.company.mts.service,RewardService,0,347,0,18,0,78,0,22,0,13
mts,com.company.mts.service,EmailService,0,124,0,0,0,29,0,4,0,4
mts,com.company.mts.service,AuthService,0,458,1,19,0,104,1,22,0,13
mts,com.company.mts.service,AccountService,0,632,0,52,0,127,0,47,0,21
mts,com.company.mts.service,BankDetailsService,0,161,0,0,0,40,0,10,0,10
mts,com.company.mts.service,SnowflakeSyncService,18,355,9,29,1,84,9,19,0,9
mts,com.company.mts.entity,AuthUser,0,98,0,4,0,40,0,26,0,24
mts,com.company.mts.entity,Account,0,299,0,28,0,92,0,46,0,32
